Girvanella_sp.,Bacteria,Cyanobacteria,Cyanophyceae,Oscillatoriales,Not_specified,1,0.03,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Ruffordia_goepperti,Plantae,Tracheophyta,Polypodiopsida,Schizaeales,Anemiaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Onychiopsis_psilotoides,Plantae,Tracheophyta,Polypodiopsida,Monilophyta,Dicksoniaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Cladophlebis_sp.,Plantae,Tracheophyta,Polypodiopsida,Monilophyta,Osmundaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Sphenopteris_sp.,Plantae,Tracheophyta,Polypodiopsida,Monilophyta,Dicksoniaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Coniopteris_sp.,Plantae,Tracheophyta,Polypodiopsida,Monilophyta,Dicksoniaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Dicksonia_sp.,Plantae,Tracheophyta,Polypodiopsida,Monilophyta,Dicksoniaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Frenelopsis_ugnaensis,Plantae,Tracheophyta,Pinopsida,Pinales,Cheirolepidiaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Brachyphyllum_sp.,Plantae,Tracheophyta,Pinopsida,Pinales,Cheirolepidiaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Pagiophyllum_pedreranum,Plantae,Tracheophyta,Pinopsida,Pinales,Cheirolepidiaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Glenrosa_falcata,Plantae,Tracheophyta,Pinopsida,Pinales,Cheirolepidiaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Sphenolepis_kurriana,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Cupressinocladus_sp.,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Watsoniocladus_sp.,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Lindleycladus_sp.,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Podozamites_sp.,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Podocarpites_sp.,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Zamites_sp.,Plantae,Tracheophyta,Bennetiales,Bennettitiales,Williamsoniaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Drewria_potomacensis,Plantae,Tracheophyta,Gnetopsida,Gnetales,Not_specified,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Montsechai_vidalii,Plantae,Tracheophyta,Magnoliopsida,Not_specified,Not_specified,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Ranunculus_ferreri,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Proteaephyllum_reniforme,Plantae,Tracheophyta,Magnoliopsida,Proteales,Proteaceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Ficophyllum_sp.,Plantae,Tracheophyta,Magnoliopsida,Rosales,Moraceae,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Iterophyllum_lobatum,Plantae,Tracheophyta,Magnoliopsida,Not_specified,Not_specified,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Viriphyllum_sp.,Plantae,Tracheophyta,Magnoliopsida,Not_specified,Not_specified,0,0,photoautotroph,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Austrapotamobius_llopisi,Animalia,Arthropoda,Malacostraca,Astacidea,Astacidae,9.2875,60, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Delclosia_martinelli,Animalia,Arthropoda,Malacostraca,Caridea,Atyidae,0.0957,15, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Cypridea_sp.,Animalia,Arthropoda,Ostracoda,Podocopida,Cyprideidae,0.0001,1.6, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Mantelliana_sp.,Animalia,Arthropoda,Ostracoda,Podocopida,Cyprideidae,0,1.1, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Damonella_sp.,Animalia,Arthropoda,Ostracoda,Podocopida,Candonidae,0,0.5, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Theriosynoecum_sp.,Animalia,Arthropoda,Ostracoda,Podocopida,Candonidae,0,0.9, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Scabriculocypris_sp.,Animalia,Arthropoda,Ostracoda,Podocopida,Not_specified,0,0.4, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Alicenula_sp.,Animalia,Arthropoda,Ostracoda,Darwinulocopina,Darwinulidae,0,0.6, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Spinogriphus_ibericus_,Animalia,Arthropoda,Malacostraca,Spaleogriphacea,Spaleogriphidae,0.0324,10.8, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Unio_elongatus,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,51.9,8.03,fungi|microorganism|zooplankton|detritus|phytoplankton|plankton,freshwater|benthic                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
Unio_turgidulus,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,8.02,3.6,alga|microorganism|phytoplankton|detritus|plankton|parasite,freshwater                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Unio_semirectus,Animalia,Mollusca,Bivalvia,Unionida,Unionidae,0.7847,29, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Viviparus_inflatus,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,0.0015,2, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Juramarinula_sp.,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,0.0017,2.1, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Prophysa_bristovii,Animalia,Mollusca,Gastropoda,Architaenioglossa,Viviparidae,0.0015,2, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Gyraulus_loryi,Animalia,Mollusca,Gastropoda,Planorboidea,Planorbidae,0.0004,1.2, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Gyraulus_choffati,Animalia,Mollusca,Gastropoda,Planorboidea,Planorbidae,0.0003,1, ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Macryphantes_cowdeni,Animalia,Arthropoda,Arachnida,Araneae,Araneoidea,1.1249,16,carnivore,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Huerguina_diazromerali,Animalia,Arthropoda,Arachnida,Araneae,Araneoidea,0.409,11,carnivore,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Julus_sp.,Animalia,Arthropoda,Diplopoda,Julida,Julidae,2.8925,22.7, ,freshwater|limestone|well|plant-litter|terrestrial|grassland|humus       
Euthyplocia_sp.,Animalia,Arthropoda,Insecta,Ephemeroptera,Euthyplocidae,0.9293,23,detritivore|detritus|microorganisms|filterfeeder,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|shallowwater|rivers|sediment|freshwater|mud|river                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
Leptophlebia_sp.,Animalia,Arthropoda,Insecta,Ephemeroptera,Leptophlebidae,1.6209,29,detritivore|detritus|microorganisms|filterfeeder,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|shallowwater|riverssediment|freshwater|mud|river                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Angloaeschnidium_montreuli,Animalia,Arthropoda,Insecta,Odonata,Aeschniidae,5.9914,50,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|shallowwater|rivers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
Gigantoaeschnidium_ibericus,Animalia,Arthropoda,Insecta,Odonata,Aeschniidae,16.3664,76,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|shallowwater|rivers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
Hispanostenophlebia_barremiana,Animalia,Arthropoda,Insecta,Odonata,Stenophlebiidae,9.2803,60,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|shallowwater|rivers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
Iberoaeschnidium_conquensis,Animalia,Arthropoda,Insecta,Odonata,Aeschniidae,2.7235,36,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|shallowwater|rivers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
Ilerdaegomphus_torcae,Animalia,Arthropoda,Insecta,Odonata,Gomphidae,3.5071,40,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|shallowwater|rivers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Nannoaeschnidium_pumilio,Animalia,Arthropoda,Insecta,Odonata,Aeschniidae,5.9914,50,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|shallowwater|rivers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Sinaeschnidia_martinezdelclosi,Animalia,Arthropoda,Insecta,Odonata,Aeschniidae,4.4085,44,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|shallowwater|rivers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Hoyaeschna_cretacica,Animalia,Arthropoda,Insecta,Odonata,Valdeaeschnidae,6.5828,52,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|shallowwater|rivers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Hispanoblatta_sumptuosa,Animalia,Arthropoda,Insecta,Blattoidea,Blattidae,0.516,18,herbivore|detritivore|detritus|plants,shallowwater|rivers|forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Nogueroblatta_fontllongae,Animalia,Arthropoda,Insecta,Blattoidea,Blattidae,0.0978,9,herbivore|detritivore|detritus|plants,shallowwater|rivers|forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Meiatermes_bertrani,Animalia,Arthropoda,Insecta,Isoptera,Hododermitidae,0.0369,6,herbivore|fungivore|plants|fungi,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
Gryllus_sp.,Animalia,Arthropoda,Insecta,Orthoptera,Gryllidae,0.6253,19.5,herbivore|fungivore|plants|fungi,forest|steppe|badland|well|plant-litter|coastal-plain|terrestrial|tissue|grassland|desert                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Chresmoda_aquatica,Animalia,Arthropoda,Insecta,Archaeorthoptera,Chresmodidae,1.7583,30,carnivore,watersurface|air-water_interface|pleuston|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Pachypsyche_vidali,Animalia,Arthropoda,Insecta,Hemiptera,Paleontinidae,5.9914,50,herbivore|fungivore|plants|fungi,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
Hispanepa_conquensis,Animalia,Arthropoda,Insecta,Hemiptera,Corixidae,0.747,21,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|watersurface|air-water_interface|pleuston|freshwater|pond|well|aquatic|river                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Torcanepa_magnapes,Animalia,Arthropoda,Insecta,Hemiptera,Corixidae,0.3331,15,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|watersurface|air-water_interface|pleuston|freshwater|well|vegetated-area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
Iberonepa_romerali,Animalia,Arthropoda,Insecta,Hemiptera,Belostomatidae,0.6645,20,carnivore,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|watersurface|air-water_interface|pleuston|freshwater|well|vegetated-area                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
Kalligramma_sp.,Animalia,Arthropoda,Insecta,Neuroptera,Kalligrammatidae,5.9914,50,carnivore,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Allopterus_mayorgai,Animalia,Arthropoda,Insecta,Neuroptera,Allopteridae,0.3331,15,carnivore,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
Armandochrysopa_inexpecta,Animalia,Arthropoda,Insecta,Neuroptera,Allopteridae,0.6645,20,carnivore,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
Chimerochrysopa_incerta,Animalia,Arthropoda,Insecta,Neuroptera,Not_specified,0.1259,10,carnivore,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Triangulochrysopa_sanzii,Animalia,Arthropoda,Insecta,Neuroptera,Allopteridae,0.747,21,carnivore,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Nanochrysopa_sp.,Animalia,Arthropoda,Insecta,Neuroptera,Tachinymphidae,0.6645,20,carnivore,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Panorpa_sp.,Animalia,Arthropoda,Insecta,Neuroptera,Panorpidae,0.195,12,herbivore|fungivore|plants|fungi,forest|well                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Archaeoscolia_hispanica,Animalia,Arthropoda,Insecta,Hymenoptera,Scoliidae,0.0535,7,parasite|pollen|beetles|insects,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
Cretoscolia_conquensis,Animalia,Arthropoda,Insecta,Hymenoptera,Scoliidae,0.3889,16,parasite|pollen|beetles|insects,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
Chironomus_sp.,Animalia,Arthropoda,Insecta,Diptera,Chironomidae,0.0065,2.9,suspendedmatter|filterfeeder|microorganisms|detritivore|detritus,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|sediment|coast|freshwater|MOR|benthic|freshwater-lake|mountain|well|tissue|tundr                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
Chaoborus_sp.,Animalia,Arthropoda,Insecta,Diptera,Chaoboridae,0.014,4,suspendedmatter|filterfeeder|microorganisms|detritivore|detritus,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|mountain                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Stratiomys_sp.,Animalia,Arthropoda,Insecta,Diptera,Stratiomyidae,1.7583,30,herbivore|detritivore|detritus|plants,shallowwater|riversfreshwater|well                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
Tabanus_sp.,Animalia,Arthropoda,Insecta,Diptera,Tabanidae,0.7904,21.5,herbivore|detritivore|detritus|plantscrustacean|nectar|herbivore|worm|blood|insect|carnivore|mollusc|parasite,shallowwater|riverscoast|freshwater|salt-marsh|benthic|marsh|well|wetland|terrestrial|grassland|river|woodland-canopy|forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
Tipula_sp.,Animalia,Arthropoda,Insecta,Diptera,Tipulidae,1.7583,30,herbivore|detritivore|detritus|plants|fungi|roots,shallowwater|rivers                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
Prosoeca_(Paleombolus)_saxea,Animalia,Arthropoda,Insecta,Diptera,Nemestrinidae,0.195,12,herbivore|fungivore|plants|fungi,forest|coast                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Potamophylax_sp.,Animalia,Arthropoda,Insecta,Trichoptera,Limnephilidae,0.1259,10, ,forest|freshwater|aquifer|freshwater-lake|mountain|plant-litter|grassland|tundra|peatland|gravel|river                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
Tetraphalerus_ponomarenkoi,Animalia,Arthropoda,Insecta,Coleoptera,Cupedidae,0.0185,4.5,herbivore|fungivore|plants|fungi,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       
Zygadenia_diazromerali,Animalia,Arthropoda,Insecta,Coleoptera,Cupedidae,0.6645,20,herbivore|fungivore|plants|fungi,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
Zygadenia_longicoxa,Animalia,Arthropoda,Insecta,Coleoptera,Cupedidae,0.747,21,herbivore|fungivore|plants|fungi,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Zygadenia_martinclosas,Animalia,Arthropoda,Insecta,Coleoptera,Cupedidae,0.5875,19,herbivore|fungivore|plants|fungi,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
Zygadenia_siniestri,Animalia,Arthropoda,Insecta,Coleoptera,Cupedidae,0.516,18,herbivore|fungivore|plants|fungi,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
Zygadenia_viridis,Animalia,Arthropoda,Insecta,Coleoptera,Cupedidae,0.8352,22,herbivore|fungivore|plants|fungi,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
Anaglyphites_zherikhini,Animalia,Arthropoda,Insecta,Coleoptera,Cupedidae,0.1259,10,herbivore|fungivore|plants|fungi,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
Martynopsis_laticollis,Animalia,Arthropoda,Insecta,Coleoptera,Parandrexidae,0.1259,10,herbivore|fungivore|plants|fungi,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Priacma_sanzii,Animalia,Arthropoda,Insecta,Coleoptera,Cupedidae,0.1259,10,herbivore|fungivore|plants|fungi,forest                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
Hispanoclavia_diazromerali,Animalia,Arthropoda,Insecta,Coleoptera,Coptoclavidae,0.3889,16,carnivore|suspendedmatter|filterfeeder|microorganisms,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|watersurface|air-water_interface|pleuston|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
Hispanoclavia_gratshevi,Animalia,Arthropoda,Insecta,Coleoptera,Coptoclavidae,0.3331,15,carnivore|suspendedmatter|filterfeeder|microorganisms,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|watersurface|air-water_interface|pleuston|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
Hoyaclava_buscalionae,Animalia,Arthropoda,Insecta,Coleoptera,Coptoclavidae,0.1259,10,carnivore|suspendedmatter|filterfeeder|microorganisms,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|watersurface|air-water_interface|pleuston|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
Ovonectes_pilosum,Animalia,Arthropoda,Insecta,Coleoptera,Coptoclavidae,0.1259,10,carnivore|suspendedmatter|filterfeeder|microorganisms,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|watersurface|air-water_interface|pleuston|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
Megacoptoclava_longiurogomphia,Animalia,Arthropoda,Insecta,Coleoptera,Coptoclavidae,0.2363,13,carnivore|suspendedmatter|filterfeeder|microorganisms,aquatic|freshwater|riverbeds|submerged_vegetation|watercolumn|benthic|watersurface|air-water_interface|pleuston|                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
